Subject,Run,Scan.with.spikes
S01,scan12,78
S01,scan12,54
S01,scan12,56
S01,scan12,59
S01,scan12,80
S01,scan12,128
S01,scan12,4
S01,scan12,7
S01,scan12,79
S01,scan12,81
S01,scan12,87
S01,scan12,104
S01,scan12,129
S01,scan13,64
S01,scan13,59
S01,scan13,60
S01,scan13,62
S01,scan13,125
S01,scan9,52
S01,scan9,5
S01,scan9,26
S01,scan9,28
S01,scan9,51
S02,scan1,77
S02,scan1,87
S02,scan1,101
S02,scan1,128
S02,scan1,14
S02,scan1,16
S02,scan1,24
S02,scan1,27
S02,scan1,29
S02,scan1,52
S02,scan1,54
S02,scan1,56
S02,scan1,66
S02,scan1,67
S02,scan1,76
S02,scan1,79
S02,scan1,86
S02,scan1,102
S02,scan12,3
S02,scan12,4
S02,scan12,5
S02,scan12,6
S02,scan12,7
S02,scan12,12
S02,scan2,3
S02,scan2,5
S02,scan2,54
S02,scan2,79
S02,scan2,81
S02,scan2,96
S02,scan2,125
S02,scan2,2
S02,scan2,4
S02,scan2,34
S02,scan2,78
S02,scan2,80
S02,scan2,124
S02,scan2,127
S02,scan8,100
S02,scan8,109
S02,scan8,27
S02,scan8,28
S02,scan8,45
S02,scan8,51
S02,scan8,52
S02,scan8,53
S02,scan8,59
S02,scan8,64
S02,scan8,75
S02,scan8,76
S02,scan8,77
S02,scan8,78
S02,scan8,81
S02,scan8,82
S02,scan8,84
S02,scan8,88
S02,scan8,89
S02,scan8,101
S02,scan8,102
S02,scan8,105
S02,scan8,106
S02,scan8,107
S02,scan8,110
S02,scan8,111
S02,scan8,114
S02,scan8,120
S02,scan8,124
S02,scan8,125
S02,scan8,127
S02,scan8,128
S02,scan8,14
S02,scan8,43
S02,scan8,79
S02,scan8,117
S02,scan9,54
S02,scan9,78
S02,scan9,79
S02,scan9,80
S02,scan9,4
S02,scan9,30
S02,scan11,52
S02,scan11,76
S02,scan11,79
S02,scan11,101
S02,scan11,103
S02,scan11,104
S02,scan11,124
S02,scan11,125
S02,scan11,3
S02,scan11,26
S02,scan11,53
S02,scan11,78
S02,scan11,127
S02,scan4,76
S02,scan4,102
S02,scan4,43
S02,scan4,51
S02,scan4,58
S02,scan4,81
S02,scan4,82
S02,scan4,100
S02,scan4,103
S02,scan4,106
S02,scan4,126
S02,scan4,128
S02,scan4,9
S02,scan4,39
S02,scan4,50
S02,scan4,52
S02,scan4,72
S02,scan4,73
S02,scan4,77
S02,scan4,79
S02,scan4,127
S05,scan6,41
S05,scan6,42
S05,scan6,43
S05,scan6,73
S05,scan6,74
S05,scan6,75
S05,scan6,76
S05,scan6,77
S06,scan1,54
S06,scan1,56
S06,scan1,55
S06,scan1,111
S06,scan1,112
S06,scan1,114
S06,scan1,115
S06,scan1,124
S06,scan1,125
S06,scan11,40
S06,scan11,41
S06,scan11,24
S06,scan11,25
S06,scan11,31
S06,scan11,33
S06,scan11,36
S06,scan11,78
S06,scan11,102
S06,scan11,106
S06,scan11,42
S06,scan11,51
S06,scan11,53
S06,scan11,54
S06,scan11,55
S06,scan11,56
S06,scan11,77
S06,scan11,79
S06,scan11,80
S06,scan11,81
S06,scan11,89
S06,scan11,91
S06,scan11,93
S06,scan11,94
S06,scan11,101
S06,scan11,103
S06,scan11,107
S06,scan12,85
S06,scan12,86
S06,scan12,2
S06,scan12,3
S06,scan12,26
S06,scan12,27
S06,scan12,29
S06,scan12,33
S06,scan12,121
S06,scan12,122
S06,scan12,21
S06,scan12,22
S06,scan12,23
S06,scan12,24
S06,scan12,25
S06,scan12,28
S06,scan12,30
S06,scan12,31
S06,scan12,32
S06,scan12,34
S06,scan12,35
S06,scan12,36
S06,scan12,37
S06,scan12,38
S06,scan12,39
S06,scan12,87
S06,scan13,27
S06,scan13,102
S06,scan13,3
S06,scan13,28
S06,scan13,75
S06,scan13,77
S06,scan13,100
S06,scan13,2
S06,scan13,51
S06,scan13,53
S06,scan13,54
S06,scan13,74
S06,scan13,76
S06,scan13,99
S06,scan13,101
S06,scan13,105
S06,scan13,108
S06,scan13,109
S06,scan13,122
S06,scan2,43
S06,scan2,104
S06,scan2,44
S06,scan2,45
S06,scan2,102
S06,scan2,103
S06,scan4,56
S06,scan4,4
S06,scan4,5
S06,scan4,33
S06,scan4,57
S06,scan4,64
S06,scan4,65
S06,scan4,66
S06,scan4,118
S06,scan4,120
S06,scan4,121
S06,scan5,2
S06,scan5,27
S06,scan5,28
S06,scan5,52
S06,scan5,127
S06,scan5,128
S06,scan5,129
S06,scan5,51
S06,scan5,53
S06,scan5,54
S06,scan5,55
S06,scan5,56
S06,scan5,61
S06,scan5,62
S06,scan5,63
S06,scan5,72
S06,scan5,73
S06,scan5,74
S06,scan5,75
S06,scan5,77
S06,scan5,78
S06,scan5,79
S06,scan5,94
S06,scan5,95
S06,scan5,97
S06,scan5,105
S06,scan5,107
S06,scan5,108
S06,scan6,83
S06,scan6,118
S06,scan6,120
S06,scan6,26
S06,scan6,76
S06,scan6,77
S06,scan6,79
S06,scan6,80
S06,scan6,81
S06,scan6,116
S06,scan6,117
S06,scan6,27
S06,scan6,28
S06,scan6,29
S06,scan6,32
S06,scan6,35
S06,scan6,51
S06,scan6,57
S06,scan6,67
S06,scan6,102
S06,scan6,103
S06,scan6,104
S06,scan6,121
S06,scan6,122
S06,scan7,127
S06,scan7,2
S06,scan7,3
S06,scan7,51
S06,scan7,53
S06,scan7,100
S06,scan7,101
S06,scan7,102
S06,scan7,129
S06,scan7,4
S06,scan7,48
S06,scan7,49
S06,scan7,50
S06,scan7,52
S06,scan7,54
S06,scan7,55
S06,scan7,78
S06,scan7,105
S06,scan7,128
S06,scan9,18
S06,scan9,20
S06,scan9,91
S06,scan9,92
S06,scan9,103
S06,scan9,104
S06,scan9,114
S06,scan9,116
S06,scan9,14
S06,scan9,15
S06,scan9,16
S06,scan9,17
S06,scan9,19
S06,scan9,21
S06,scan9,22
S06,scan9,36
S06,scan9,52
S06,scan9,54
S06,scan9,55
S06,scan9,102
S06,scan9,105
S06,scan9,106
S06,scan9,129
S07,scan10,66
S07,scan10,76
S07,scan10,77
S07,scan10,63
S07,scan10,64
S07,scan10,65
S07,scan10,67
S07,scan10,68
S07,scan10,69
S07,scan10,71
S07,scan10,73
S07,scan10,74
S07,scan10,75
S07,scan10,78
S07,scan10,80
S07,scan10,6
S07,scan10,24
S07,scan10,25
S07,scan10,26
S07,scan10,28
S07,scan10,30
S07,scan10,79
S07,scan10,81
S07,scan10,82
S07,scan10,83
S07,scan10,84
S07,scan10,86
S07,scan10,89
S07,scan10,90
S07,scan10,91
S07,scan10,102
S07,scan11,46
S07,scan11,48
S07,scan11,110
S07,scan11,111
S07,scan11,112
S07,scan11,113
S07,scan11,45
S07,scan11,47
S07,scan11,94
S07,scan11,95
S07,scan11,109
S07,scan11,114
S07,scan11,2
S07,scan11,3
S07,scan11,4
S07,scan11,5
S07,scan11,8
S07,scan11,9
S07,scan11,10
S07,scan11,11
S07,scan11,21
S07,scan11,33
S07,scan11,34
S07,scan11,35
S07,scan11,42
S07,scan11,43
S07,scan11,44
S07,scan11,50
S07,scan11,52
S07,scan11,81
S07,scan11,91
S07,scan11,92
S07,scan11,93
S07,scan11,96
S07,scan11,98
S07,scan11,99
S07,scan11,108
S07,scan11,116
S07,scan11,126
S07,scan12,102
S07,scan12,103
S07,scan12,104
S07,scan12,107
S07,scan12,108
S07,scan12,65
S07,scan12,66
S07,scan12,78
S07,scan12,100
S07,scan12,101
S07,scan12,105
S07,scan12,106
S07,scan12,109
S07,scan12,26
S07,scan12,27
S07,scan12,28
S07,scan12,29
S07,scan12,63
S07,scan12,64
S07,scan12,67
S07,scan12,77
S07,scan12,79
S07,scan12,128
S07,scan12,129
S07,scan4,5
S07,scan4,6
S07,scan4,4
S07,scan4,7
S07,scan4,8
S07,scan4,52
S07,scan5,27
S07,scan5,51
S07,scan5,52
S07,scan5,53
S07,scan5,77
S07,scan5,26
S07,scan5,28
S07,scan5,29
S07,scan5,30
S07,scan5,48
S07,scan5,49
S07,scan5,50
S07,scan5,54
S07,scan5,55
S07,scan5,56
S07,scan5,57
S07,scan5,58
S07,scan5,76
S07,scan5,78
S07,scan6,48
S07,scan6,47
S07,scan6,49
S07,scan6,50
S07,scan6,51
S07,scan6,82
S07,scan6,83
S07,scan6,121
S07,scan6,29
S07,scan6,81
S07,scan6,85
S07,scan6,102
S07,scan6,103
S07,scan6,104
S07,scan6,105
S07,scan6,119
S07,scan6,123
S07,scan6,129
S07,scan7,79
S07,scan7,83
S07,scan7,100
S07,scan7,101
S07,scan7,102
S07,scan7,128
S07,scan7,80
S07,scan7,84
S07,scan7,104
S07,scan7,62
S07,scan7,73
S07,scan7,74
S07,scan7,75
S07,scan7,76
S07,scan7,77
S07,scan7,78
S07,scan7,81
S07,scan7,82
S07,scan7,99
S07,scan7,103
S07,scan7,106
S07,scan7,116
S07,scan7,125
S07,scan7,126
S07,scan7,127
S07,scan7,129
S07,scan8,81
S07,scan8,51
S07,scan8,53
S07,scan8,80
S07,scan8,83
S07,scan8,84
S07,scan9,29
S07,scan9,30
S07,scan9,31
S07,scan9,32
S07,scan9,51
S07,scan9,52
S07,scan9,28
S07,scan9,33
S07,scan9,50
S07,scan9,53
S07,scan9,129
S10,scan5,27
S10,scan5,28
S10,scan5,52
S10,scan5,54
S10,scan5,29
S10,scan5,51
S10,scan5,7
S10,scan5,10
S10,scan5,53
S12,scan1,27
S12,scan1,31
S12,scan1,40
S12,scan1,41
S12,scan1,42
S12,scan1,43
S12,scan1,44
S12,scan1,50
S12,scan1,51
S12,scan1,54
S12,scan1,127
S12,scan1,28
S12,scan1,52
S12,scan1,100
S12,scan1,16
S12,scan1,20
S12,scan1,26
S12,scan1,53
S12,scan1,77
S12,scan1,79
S12,scan1,126
S12,scan1,128
S12,scan1,129
S12,scan10,20
S12,scan10,19
S12,scan10,100
S12,scan10,101
S12,scan10,30
S12,scan10,54
S12,scan10,55
S12,scan10,56
S12,scan10,61
S12,scan10,62
S12,scan10,65
S12,scan10,66
S12,scan10,67
S12,scan10,68
S12,scan10,102
S12,scan10,114
S12,scan10,115
S12,scan10,116
S12,scan10,117
S12,scan10,128
S12,scan11,127
S12,scan11,50
S12,scan11,52
S12,scan11,53
S12,scan11,94
S12,scan11,113
S12,scan11,114
S12,scan11,124
S12,scan11,2
S12,scan11,16
S12,scan11,17
S12,scan11,26
S12,scan11,28
S12,scan11,29
S12,scan11,42
S12,scan11,43
S12,scan11,51
S12,scan11,55
S12,scan11,58
S12,scan11,71
S12,scan11,72
S12,scan11,73
S12,scan11,79
S12,scan11,80
S12,scan11,81
S12,scan11,90
S12,scan11,95
S12,scan11,110
S12,scan11,126
S12,scan11,128
S12,scan11,129
S12,scan12,3
S12,scan12,4
S12,scan12,27
S12,scan12,66
S12,scan12,2
S12,scan12,5
S12,scan12,6
S12,scan12,7
S12,scan12,16
S12,scan12,17
S12,scan12,37
S12,scan12,38
S12,scan12,54
S12,scan12,55
S12,scan12,63
S12,scan12,65
S12,scan12,76
S12,scan12,77
S12,scan12,78
S12,scan12,79
S12,scan12,99
S12,scan12,101
S12,scan12,102
S12,scan12,103
S12,scan12,115
S12,scan12,117
S12,scan14,96
S12,scan14,126
S12,scan14,2
S12,scan14,4
S12,scan14,36
S12,scan14,54
S12,scan14,55
S12,scan14,74
S12,scan14,85
S12,scan14,97
S12,scan14,108
S12,scan14,116
S12,scan14,122
S12,scan14,123
S12,scan14,124
S12,scan14,127
S12,scan15,53
S12,scan15,55
S12,scan15,89
S12,scan15,2
S12,scan15,3
S12,scan15,9
S12,scan15,10
S12,scan15,17
S12,scan15,35
S12,scan15,36
S12,scan15,38
S12,scan15,42
S12,scan15,43
S12,scan15,44
S12,scan15,51
S12,scan15,52
S12,scan15,57
S12,scan15,58
S12,scan15,77
S12,scan15,79
S12,scan15,80
S12,scan15,90
S12,scan15,106
S12,scan15,115
S12,scan15,116
S12,scan15,118
S12,scan16,27
S12,scan16,28
S12,scan16,29
S12,scan16,116
S12,scan16,2
S12,scan16,4
S12,scan16,40
S12,scan16,42
S12,scan16,54
S12,scan16,55
S12,scan16,78
S12,scan16,89
S12,scan16,92
S12,scan16,94
S12,scan16,115
S12,scan16,117
S12,scan3,4
S12,scan3,5
S12,scan3,77
S12,scan3,120
S12,scan3,124
S12,scan3,125
S12,scan3,126
S12,scan3,127
S12,scan3,26
S12,scan3,30
S12,scan3,50
S12,scan3,2
S12,scan3,20
S12,scan3,24
S12,scan3,25
S12,scan3,27
S12,scan3,28
S12,scan3,29
S12,scan3,51
S12,scan3,52
S12,scan3,74
S12,scan3,75
S12,scan3,79
S12,scan5,22
S12,scan5,52
S12,scan5,77
S12,scan5,76
S12,scan5,79
S12,scan5,29
S12,scan5,55
S12,scan5,78
S12,scan5,102
S12,scan5,103
S12,scan5,126
S12,scan7,26
S12,scan7,27
S12,scan7,28
S12,scan7,29
S12,scan7,32
S12,scan7,88
S12,scan7,100
S12,scan7,53
S12,scan7,78
S12,scan7,101
S12,scan7,105
S12,scan7,25
S12,scan7,30
S12,scan7,98
S12,scan7,99
S12,scan7,102
S12,scan7,103
S12,scan7,104
S12,scan7,126
S12,scan7,127
S12,scan7,128
S12,scan7,129
S12,scan8,26
S12,scan8,28
S12,scan8,54
S12,scan8,55
S12,scan8,4
S12,scan8,17
S12,scan8,56
S12,scan8,92
S12,scan8,94
S12,scan8,95
S12,scan8,97
S12,scan8,100
S12,scan8,101
S12,scan8,102
S12,scan8,103
S12,scan8,104
S12,scan8,127
S12,scan8,128
S12,scan9,27
S12,scan9,99
S12,scan9,100
S12,scan9,101
S12,scan9,2
S12,scan9,4
S12,scan9,26
S12,scan9,30
S12,scan9,31
S12,scan9,32
S12,scan9,52
S12,scan9,53
S12,scan9,54
S12,scan9,55
S12,scan9,56
S12,scan9,77
S12,scan9,78
S12,scan9,102
S12,scan9,103
S12,scan9,109
S12,scan9,118
S12,scan9,123
