      Sub      image     Region    pcs_Peak pcs_ContrastSum   pcs_bmean       Voxel      Mean       Std       RMS    Trimmean      90ile      %Vox>1%      AbsMax
      S01       con_0001       total   0.2100    6.0000  175.0234    58.1760   -0.0808    0.2032    0.2187   -0.0760    0.1938    0.0464    2.0144
      S01       con_0001       inner      NaN       NaN       NaN    45.9660   -0.0702    0.1849    0.1978   -0.0636    0.1796    0.0131    1.9222
      S01       con_0001       outer      NaN       NaN       NaN    12.2100   -0.1207    0.2569    0.2838   -0.1244    0.2546    0.1720    2.0144
      S01       con_0002       total   0.2100    6.0000  175.0234    58.1760   -0.0768    0.2356    0.2478   -0.0659    0.2197    0.0602    2.6451
      S01       con_0002       inner      NaN       NaN       NaN    45.9660   -0.0574    0.2089    0.2166   -0.0483    0.2011    0.0348    2.6451
      S01       con_0002       outer      NaN       NaN       NaN    12.2100   -0.1502    0.3056    0.3405   -0.1395    0.2976    0.1556    2.3705
      S01       con_0003       total   0.2100    6.0000  175.0234    58.1760    0.0847    0.1700    0.1900    0.0784    0.2085    0.0567    2.6996
      S01       con_0003       inner      NaN       NaN       NaN    45.9660    0.0739    0.1535    0.1703    0.0667    0.1930    0.0239    2.3625
      S01       con_0003       outer      NaN       NaN       NaN    12.2100    0.1255    0.2167    0.2504    0.1249    0.2473    0.1802    2.6996
      S01       con_0004       total   0.2100    6.0000  175.0234    58.1760   -0.0606    0.2430    0.2504   -0.0561    0.2592    0.0670    1.8782
      S01       con_0004       inner      NaN       NaN       NaN    45.9660   -0.0522    0.2283    0.2342   -0.0474    0.2452    0.0283    1.8782
      S01       con_0004       outer      NaN       NaN       NaN    12.2100   -0.0922    0.2897    0.3040   -0.0901    0.3176    0.2129    1.5041
      S01       con_0005       total   0.2100    6.0000  175.0234    58.1760   -0.0248    0.2473    0.2485   -0.0229    0.2676    0.1513    1.9246
      S01       con_0005       inner      NaN       NaN       NaN    45.9660   -0.0201    0.2287    0.2296   -0.0177    0.2523    0.0783    1.8521
      S01       con_0005       outer      NaN       NaN       NaN    12.2100   -0.0428    0.3065    0.3095   -0.0431    0.3363    0.4259    1.9246
      S01       con_0006       total   0.2100    6.0000  175.0234    58.1760    0.0292    0.1857    0.1880    0.0235    0.2233    0.0688    1.6168
      S01       con_0006       inner      NaN       NaN       NaN    45.9660    0.0193    0.1713    0.1724    0.0144    0.2066    0.0500    1.6168
      S01       con_0006       outer      NaN       NaN       NaN    12.2100    0.0661    0.2281    0.2375    0.0615    0.2844    0.1392    1.4035
      S01       con_0007       total   0.2100    6.0000  175.0234    58.1760   -0.0303    0.1667    0.1694   -0.0291    0.1688    0.0756    2.4922
      S01       con_0007       inner      NaN       NaN       NaN    45.9660   -0.0267    0.1475    0.1499   -0.0246    0.1581    0.0131    1.4358
      S01       con_0007       outer      NaN       NaN       NaN    12.2100   -0.0439    0.2243    0.2286   -0.0469    0.2215    0.3112    2.4922
      S01       con_0008       total   0.2100    6.0000  175.0234    58.1760   -0.0562    0.2035    0.2111   -0.0488    0.1950    0.0584    2.5511
      S01       con_0008       inner      NaN       NaN       NaN    45.9660   -0.0406    0.1807    0.1852   -0.0359    0.1825    0.0326    2.5346
      S01       con_0008       outer      NaN       NaN       NaN    12.2100   -0.1146    0.2647    0.2884   -0.1061    0.2508    0.1556    2.5511
      S01       con_0009       total   0.2100    6.0000  175.0234    58.1760   -0.0432    0.1521    0.1581   -0.0411    0.1465    0.0498    2.5217
