Sub,Scan,Inv,Percept,Cond,F
S01,1,1,domin,BR,61827.229279174
S01,1,2,domin,BR,81994.2112602415
S01,1,3,domin,BR,52691.9530332295
S01,1,4,domin,BR,52796.2407783916
S01,1,5,domin,BR,71730.7423814013
S01,1,6,domin,BR,61893.0368834498
S01,1,7,domin,BR,10458.3684851438
S01,1,8,domin,BR,6798.95162337246
S01,1,9,domin,BR,26075.7879163674
S01,1,10,domin,BR,20301.4469686987
S01,1,11,domin,BR,9514.07475915316
S01,1,12,domin,BR,7819.30821281383
S01,1,13,domin,BR,12629.0274813863
S01,1,14,domin,BR,12042.2448866031
S01,1,15,domin,BR,62269.1826923886
S01,1,16,domin,BR,62279.3907414034
S01,1,17,domin,BR,71835.3427269168
S01,1,18,domin,BR,71816.7644971627
S01,2,1,domin,BR,59588.3458900541
S01,2,2,domin,BR,80452.3381014899
S01,2,3,domin,BR,48126.2536445118
S01,2,4,domin,BR,48223.9963976022
S01,2,5,domin,BR,68168.6257551241
S01,2,6,domin,BR,59587.6907942074
S01,2,7,domin,BR,9099.57356375906
S01,2,8,domin,BR,5423.6965262857
S01,2,9,domin,BR,24122.2757692609
S01,2,10,domin,BR,18008.0130751346
S01,2,11,domin,BR,8831.30543615306
S01,2,12,domin,BR,7384.22206010424
S01,2,13,domin,BR,11310.4995622088
S01,2,14,domin,BR,10617.5573528547
S01,2,15,domin,BR,76619.2538146008
S01,2,16,domin,BR,74596.4371293666
S01,2,17,domin,BR,69100.7002074554
S01,2,18,domin,BR,68836.2278942209
S01,3,1,domin,BR,73371.7044450054
S01,3,2,domin,BR,94573.0438968993
S01,3,3,domin,BR,61964.6850836037
S01,3,4,domin,BR,62080.6539311745
S01,3,5,domin,BR,82152.3923334713
S01,3,6,domin,BR,73344.3293960182
S01,3,7,domin,BR,12110.8969973111
S01,3,8,domin,BR,8165.82750048776
S01,3,9,domin,BR,28327.7879152848
S01,3,10,domin,BR,21930.5874947888
S01,3,11,domin,BR,11441.3060236702
S01,3,12,domin,BR,9931.59760600497
S01,3,13,domin,BR,14690.7333985802
S01,3,14,domin,BR,13929.1955839303
S01,3,15,domin,BR,77828.7783026108
S01,3,16,domin,BR,77506.0988491849
S01,3,17,domin,BR,81241.8958274402
S01,3,18,domin,BR,81029.5184260437
S01,4,1,domin,BR,70950.4806619148
S01,4,2,domin,BR,90698.5820019248
S01,4,3,domin,BR,62150.8173747976
S01,4,4,domin,BR,62261.5745538406
S01,4,5,domin,BR,81942.5941470123
S01,4,6,domin,BR,70802.186213891
S01,4,7,domin,BR,12377.5316948867
S01,4,8,domin,BR,8982.89107927657
S01,4,9,domin,BR,30536.0614388126
S01,4,10,domin,BR,24318.668511827
S01,4,11,domin,BR,12586.2740604772
S01,4,12,domin,BR,10882.0041901295
S01,4,13,domin,BR,15171.1446615324
S01,4,14,domin,BR,14358.0793623258
S01,4,15,domin,BR,70474.560818625
S01,4,16,domin,BR,70546.904189771
S01,4,17,domin,BR,77465.6735472243
S01,4,18,domin,BR,77449.8636612687
S01,5,1,domin,BR,59053.4002267397
S01,5,2,domin,BR,78710.6351724096
S01,5,3,domin,BR,47629.8505688891
S01,5,4,domin,BR,47742.2693208545
S01,5,5,domin,BR,66753.8788199626
S01,5,6,domin,BR,59064.1298354307
S01,5,7,domin,BR,8818.16732263789
S01,5,8,domin,BR,5896.49045146952
S01,5,9,domin,BR,23450.9263806957
S01,5,10,domin,BR,17725.1491282396
S01,5,11,domin,BR,9430.26170704882
S01,5,12,domin,BR,7697.38070448596
S01,5,13,domin,BR,11754.4349760854
S01,5,14,domin,BR,10984.4148708122
S01,5,15,domin,BR,75095.1300979948
S01,5,16,domin,BR,72979.2130074504
S01,5,17,domin,BR,71039.9251180503
S01,5,18,domin,BR,70934.7547529732
S01,6,1,domin,BR,67068.5296533498
S01,6,2,domin,BR,82675.0585667437
S01,6,3,domin,BR,56981.5590985371
S01,6,4,domin,BR,57207.1924566181
S01,6,5,domin,BR,72235.3811974615
S01,6,6,domin,BR,67183.1451486794
S01,6,7,domin,BR,12133.6744933909
S01,6,8,domin,BR,9596.42145779803
S01,6,9,domin,BR,23527.5241101559
S01,6,10,domin,BR,18656.6264506367
S01,6,11,domin,BR,10720.08249154
S01,6,12,domin,BR,8960.63676497081
S01,6,13,domin,BR,14490.0666360178
S01,6,14,domin,BR,12640.8798539913
S01,6,15,domin,BR,72896.6456628621
S01,6,16,domin,BR,69717.1355592181
S01,6,17,domin,BR,65159.5457023909
S01,6,18,domin,BR,64397.6682448024
S01,1,1,u,BR,70510.9649947924
S01,1,2,u,BR,88303.3131544964
S01,1,3,u,BR,70563.0439207263
S01,1,4,u,BR,70642.0597880983
S01,1,5,u,BR,88344.3230848074
S01,1,6,u,BR,70588.2628422964
S01,1,7,u,BR,25077.3448653141
S01,1,8,u,BR,24975.0580215527
S01,1,9,u,BR,44951.0951110821
S01,1,10,u,BR,43895.8678095927
S01,1,11,u,BR,27784.1052066018
S01,1,12,u,BR,27823.5844959021
S01,1,13,u,BR,28728.1520788021
S01,1,14,u,BR,28730.6559615794
S01,1,15,u,BR,78528.433132704
S01,1,16,u,BR,78627.9532087923
S01,1,17,u,BR,91795.2242023541
S01,1,18,u,BR,91248.3239983246
S01,2,1,u,BR,70990.0295775674
S01,2,2,u,BR,89395.4832559632
S01,2,3,u,BR,70684.2243505635
S01,2,4,u,BR,70788.1211464507
S01,2,5,u,BR,88982.3397063168
S01,2,6,u,BR,71018.9764215864
S01,2,7,u,BR,19998.4003495951
S01,2,8,u,BR,20003.8718784128
S01,2,9,u,BR,44072.9103881654
S01,2,10,u,BR,43060.4884767051
S01,2,11,u,BR,28092.1606954533
S01,2,12,u,BR,28085.4845340275
S01,2,13,u,BR,27671.7174256603
S01,2,14,u,BR,27673.4142282385
S01,2,15,u,BR,98062.7012031041
S01,2,16,u,BR,97999.09620686
S01,2,17,u,BR,96191.9991270043
S01,2,18,u,BR,91661.3897861427
S01,3,1,u,BR,85328.0735778813
S01,3,2,u,BR,106480.829875636
S01,3,3,u,BR,85053.0451046823
S01,3,4,u,BR,85181.5898432479
S01,3,5,u,BR,105968.834489343
S01,3,6,u,BR,85394.9352200671
S01,3,7,u,BR,31099.9767430042
S01,3,8,u,BR,31032.4132345149
S01,3,9,u,BR,52598.9418227508
S01,3,10,u,BR,51468.5725594281
S01,3,11,u,BR,34257.1823302766
S01,3,12,u,BR,34260.3381689833
S01,3,13,u,BR,34203.0367023232
S01,3,14,u,BR,34206.4302797114
S01,3,15,u,BR,103135.861676661
S01,3,16,u,BR,103261.509254122
S01,3,17,u,BR,110954.689722116
S01,3,18,u,BR,108591.888826072
S01,4,1,u,BR,86250.3971820004
S01,4,2,u,BR,106601.486199869
S01,4,3,u,BR,86312.424087305
S01,4,4,u,BR,86424.2428918071
S01,4,5,u,BR,106573.992485673
S01,4,6,u,BR,86359.7453391908
S01,4,7,u,BR,33612.041484867
S01,4,8,u,BR,33586.9711879863
S01,4,9,u,BR,54652.2568471897
S01,4,10,u,BR,53585.6492139143
S01,4,11,u,BR,35373.0265202137
S01,4,12,u,BR,35377.5940326966
S01,4,13,u,BR,34053.6269394681
S01,4,14,u,BR,34055.7011500213
S01,4,15,u,BR,92908.7721856452
S01,4,16,u,BR,93017.7986948563
S01,4,17,u,BR,102620.896339226
S01,4,18,u,BR,102149.972671984
S01,5,1,u,BR,69471.0146164735
S01,5,2,u,BR,87345.0015011859
S01,5,3,u,BR,69236.1842068617
S01,5,4,u,BR,69350.89132103
S01,5,5,u,BR,86911.3751945405
S01,5,6,u,BR,69528.0678286929
S01,5,7,u,BR,24575.5844496762
S01,5,8,u,BR,24588.3040883143
S01,5,9,u,BR,43554.7831724933
S01,5,10,u,BR,42662.3910573372
S01,5,11,u,BR,28072.9719950919
S01,5,12,u,BR,28116.9178336936
S01,5,13,u,BR,28596.3689849232
S01,5,14,u,BR,28605.3359601933
S01,5,15,u,BR,94429.4548211293
S01,5,16,u,BR,94440.2243238923
S01,5,17,u,BR,95452.4580224609
S01,5,18,u,BR,93532.7884755332
S01,6,1,u,BR,66003.2145597643
S01,6,2,u,BR,82285.4797369571
S01,6,3,u,BR,65552.383945938
S01,6,4,u,BR,65659.2022234538
S01,6,5,u,BR,81785.3304523208
S01,6,6,u,BR,66001.9171760822
S01,6,7,u,BR,24493.6000207272
S01,6,8,u,BR,24447.7039289132
S01,6,9,u,BR,40015.6434626633
S01,6,10,u,BR,39145.150288381
S01,6,11,u,BR,25871.1074832065
S01,6,12,u,BR,25877.9322879103
S01,6,13,u,BR,26447.0008123248
S01,6,14,u,BR,26456.7845502535
S01,6,15,u,BR,87704.4447088488
S01,6,16,u,BR,87729.3250581767
S01,6,17,u,BR,91137.3502721262
S01,6,18,u,BR,90737.2965068852
S01,1,1,domin,RplSM,43818.2987509753
S01,1,2,domin,RplSM,61476.8033774535
S01,1,3,domin,RplSM,43739.4968153376
S01,1,4,domin,RplSM,43827.8377163841
S01,1,5,domin,RplSM,61332.8109381641
S01,1,6,domin,RplSM,43926.9401107398
S01,1,7,domin,RplSM,4703.71335857533
S01,1,8,domin,RplSM,4740.58639324947
S01,1,9,domin,RplSM,15749.5708376297
S01,1,10,domin,RplSM,15808.2173919451
S01,1,11,domin,RplSM,6675.40944704048
S01,1,12,domin,RplSM,6172.23683513269
S01,1,13,domin,RplSM,9567.87184931735
S01,1,14,domin,RplSM,9364.63131360628
S01,1,15,domin,RplSM,54776.4264082237
S01,1,16,domin,RplSM,52696.2662816576
S01,1,17,domin,RplSM,59942.5792327495
S01,1,18,domin,RplSM,59139.6513540768
S01,2,1,domin,RplSM,47994.4822011924
S01,2,2,domin,RplSM,65035.6369823033
S01,2,3,domin,RplSM,47905.0222924801
S01,2,4,domin,RplSM,48010.3507562214
S01,2,5,domin,RplSM,64867.532060694
S01,2,6,domin,RplSM,48120.6244835954
S01,2,7,domin,RplSM,6094.61994853236
S01,2,8,domin,RplSM,6136.38331515828
S01,2,9,domin,RplSM,16539.9293125365
S01,2,10,domin,RplSM,16543.5360557112
S01,2,11,domin,RplSM,7055.19894586217
S01,2,12,domin,RplSM,6541.87225396273
S01,2,13,domin,RplSM,10237.164798924
S01,2,14,domin,RplSM,10101.3610275299
S01,2,15,domin,RplSM,67346.4755504567
S01,2,16,domin,RplSM,67341.6062143566
S01,2,17,domin,RplSM,67916.8164006558
S01,2,18,domin,RplSM,67454.0108702782
S01,3,1,domin,RplSM,50964.2417567989
S01,3,2,domin,RplSM,68966.6045153712
S01,3,3,domin,RplSM,50635.8687752497
S01,3,4,domin,RplSM,50744.4107841191
S01,3,5,domin,RplSM,68529.2431023221
S01,3,6,domin,RplSM,51127.175348927
S01,3,7,domin,RplSM,7978.56968799356
S01,3,8,domin,RplSM,7994.7353929162
S01,3,9,domin,RplSM,20690.8395395219
S01,3,10,domin,RplSM,20662.7713042923
S01,3,11,domin,RplSM,8001.04582805608
S01,3,12,domin,RplSM,7526.76039025593
S01,3,13,domin,RplSM,10276.0823304201
S01,3,14,domin,RplSM,10196.7196534774
S01,3,15,domin,RplSM,57776.5411828113
S01,3,16,domin,RplSM,53987.5904246302
S01,3,17,domin,RplSM,63510.9681325146
S01,3,18,domin,RplSM,62413.0520202442
S01,4,1,domin,RplSM,47943.297287498
S01,4,2,domin,RplSM,66492.0391856605
S01,4,3,domin,RplSM,47977.9445068784
S01,4,4,domin,RplSM,48083.0128697159
S01,4,5,domin,RplSM,66358.3062201941
S01,4,6,domin,RplSM,48186.5799441669
S01,4,7,domin,RplSM,7626.76745552578
S01,4,8,domin,RplSM,7651.94871720981
S01,4,9,domin,RplSM,18744.2018704168
