Sub,Scan,Inv,Percept,Cond,F
S01,1,1,red,BR,22441.9545470134
S01,1,2,red,BR,32405.1883377812
S01,1,3,red,BR,21612.4688581714
S01,1,4,red,BR,21664.8367132112
S01,1,5,red,BR,31449.9457511397
S01,1,6,red,BR,22465.5232740873
S01,1,7,red,BR,4294.9330537439
S01,1,8,red,BR,4337.6962511965
S01,1,9,red,BR,17536.1060863918
S01,1,10,red,BR,15494.7881207181
S01,1,11,red,BR,8227.05206700317
S01,1,12,red,BR,7741.1513173754
S01,1,13,red,BR,7951.01615447939
S01,1,14,red,BR,7868.90438406321
S01,1,15,red,BR,26477.604879498
S01,1,16,red,BR,26543.4920447809
S01,1,17,red,BR,33491.2833439255
S01,1,18,red,BR,33493.6483089112
S01,2,1,red,BR,21993.1742540266
S01,2,2,red,BR,31457.9573640551
S01,2,3,red,BR,20634.3027404109
S01,2,4,red,BR,20691.0888797088
S01,2,5,red,BR,29897.5797945158
S01,2,6,red,BR,22007.7164408229
S01,2,7,red,BR,4460.24524890314
S01,2,8,red,BR,4273.53260251121
S01,2,9,red,BR,16228.9545174783
S01,2,10,red,BR,14083.2950633834
S01,2,11,red,BR,7202.06982637792
S01,2,12,red,BR,6716.3758272344
S01,2,13,red,BR,6921.14128836493
S01,2,14,red,BR,6776.11055523382
S01,2,15,red,BR,34652.873347092
S01,2,16,red,BR,34511.7504218095
S01,2,17,red,BR,30889.0178958838
S01,2,18,red,BR,30764.2414398092
S01,3,1,red,BR,27480.5319665947
S01,3,2,red,BR,38747.5909136672
S01,3,3,red,BR,24905.4396343659
S01,3,4,red,BR,24976.482237551
S01,3,5,red,BR,35730.6585006867
S01,3,6,red,BR,27522.2835190718
S01,3,7,red,BR,7295.05197467488
S01,3,8,red,BR,7398.08630243429
S01,3,9,red,BR,19286.876632046
S01,3,10,red,BR,17038.4336996913
S01,3,11,red,BR,9693.64988795066
S01,3,12,red,BR,9173.83337996971
S01,3,13,red,BR,8996.74181700427
S01,3,14,red,BR,8867.51531172513
S01,3,15,red,BR,34947.2602352497
S01,3,16,red,BR,34919.9970566226
S01,3,17,red,BR,37619.262565276
S01,3,18,red,BR,37525.9195498406
S01,4,1,red,BR,27766.7071346442
S01,4,2,red,BR,37948.5410557914
S01,4,3,red,BR,26705.6449678377
S01,4,4,red,BR,26764.6716721236
S01,4,5,red,BR,36899.0553648254
S01,4,6,red,BR,27804.8738205451
S01,4,7,red,BR,9882.6083453627
S01,4,8,red,BR,8930.37653027984
S01,4,9,red,BR,21591.3884444951
S01,4,10,red,BR,19386.6234980544
S01,4,11,red,BR,11164.4253006388
S01,4,12,red,BR,10519.1939784671
S01,4,13,red,BR,9672.9092311793
S01,4,14,red,BR,9640.78643352361
S01,4,15,red,BR,30548.0662834484
S01,4,16,red,BR,30654.9024159324
S01,4,17,red,BR,37408.0351728364
S01,4,18,red,BR,37444.9636260531
S01,5,1,red,BR,20175.1000546639
S01,5,2,red,BR,29288.276789068
S01,5,3,red,BR,17699.693127779
S01,5,4,red,BR,17759.6101513741
S01,5,5,red,BR,26547.5564648167
S01,5,6,red,BR,20219.2361482449
S01,5,7,red,BR,3352.05027307199
S01,5,8,red,BR,3237.39027171529
S01,5,9,red,BR,14408.1531911226
S01,5,10,red,BR,12458.4204322771
S01,5,11,red,BR,6850.85367451947
S01,5,12,red,BR,6180.29613454321
S01,5,13,red,BR,6680.48860376568
S01,5,14,red,BR,6585.27171883284
S01,5,15,red,BR,31642.414797551
S01,5,16,red,BR,31441.2553203348
S01,5,17,red,BR,30689.2040224238
S01,5,18,red,BR,30658.6845283062
S01,6,1,red,BR,20320.7465009351
S01,6,2,red,BR,30042.6716656786
S01,6,3,red,BR,17873.8191657759
S01,6,4,red,BR,17934.3685119189
S01,6,5,red,BR,27374.6085120273
S01,6,6,red,BR,20370.9737739049
S01,6,7,red,BR,5916.22635284479
S01,6,8,red,BR,5154.6883749409
S01,6,9,red,BR,13869.7794597076
S01,6,10,red,BR,11980.8956275732
S01,6,11,red,BR,7208.94165568368
S01,6,12,red,BR,6568.77133571671
S01,6,13,red,BR,6685.35100323538
S01,6,14,red,BR,6565.03412366949
S01,6,15,red,BR,30331.9375453078
S01,6,16,red,BR,30173.459634288
S01,6,17,red,BR,31014.4873459337
S01,6,18,red,BR,30966.3815679052
S01,1,1,green,BR,23428.2613270403
S01,1,2,green,BR,33161.0448612547
S01,1,3,green,BR,19658.2571267656
S01,1,4,green,BR,19705.981129446
S01,1,5,green,BR,29030.8779966749
S01,1,6,green,BR,23432.638853506
S01,1,7,green,BR,6793.22213812688
S01,1,8,green,BR,4666.99862255154
S01,1,9,green,BR,18386.4669041642
S01,1,10,green,BR,14531.4820015062
S01,1,11,green,BR,7908.59708657542
S01,1,12,green,BR,7056.62038158938
S01,1,13,green,BR,7100.60899882259
S01,1,14,green,BR,7012.25028911414
S01,1,15,green,BR,23839.168264416
S01,1,16,green,BR,23766.430358106
S01,1,17,green,BR,30536.0954164464
S01,1,18,green,BR,30505.4802026161
S01,2,1,green,BR,23795.1589957339
S01,2,2,green,BR,33376.2022070799
S01,2,3,green,BR,18955.1357296615
S01,2,4,green,BR,19004.4551578759
S01,2,5,green,BR,27940.5640426553
S01,2,6,green,BR,23791.8743445459
S01,2,7,green,BR,5862.56366779817
S01,2,8,green,BR,3721.21403184479
S01,2,9,green,BR,17288.8266074467
S01,2,10,green,BR,13231.7784318737
S01,2,11,green,BR,7350.76735381643
