SUB,SCAN,ALT_RATE,ALT_VAR,FREQ1,FREQ2,FREQ3
S01,scan1,1.15103383933394,1.20072302643727,45,47,85
S01,scan2,1.26072458929837,1.28812149649782,42,43,75
S01,scan3,1.1613945607677,1.18259766392546,45,46,86
S01,scan4,1.2328854910154,1.26502040416365,44,43,76
S01,scan5,1.04838968581055,1.04141732581161,50,50,95
S01,scan6,1.23763457192188,1.24972279991106,44,43,78
S01,scan7,1.06013355940906,1.00137059002001,48,51,94
S01,scan8,1.235837305254,1.24133542428013,41,43,79
S01,scan9,1.18229933208008,1.265287709271,44,45,82
S01,scan10,1.16971531996387,1.24165148628569,46,43,84
S01,scan11,1.23699755985179,1.2559321584997,41,43,79
S01,scan12,1.26609865255663,1.31165919988348,42,42,79
S01,scan13,1.20089153977626,1.23327643742549,45,43,80
S02,scan1,1.80627141211712,2.05264688166322,27,31,53
S02,scan2,1.92491295580633,2.32457655016225,27,26,49
S02,scan3,1.89578324215281,2.36232877240531,25,27,47
S02,scan4,1.63906296599932,1.7020677074943,31,34,61
S02,scan5,1.95498628354835,2.39394303189167,26,26,46
S02,scan6,2.06937868871543,2.09965184853752,25,27,47
S02,scan7,2.39328545573996,2.55912046206593,27,26,27
S02,scan8,2.22571544895834,2.34855862099026,22,27,45
S02,scan9,1.87038270867293,2.36857398819348,26,27,48
S02,scan10,2.49555294581978,2.65432110369078,25,27,25
S02,scan11,2.17677474308247,2.18667161256133,22,27,44
S02,scan12,1.95174120380977,2.39359976973332,26,25,46
S03,scan1,1.27149756152067,1.09183371167766,35,46,81
S03,scan2,2.37841842167952,2.58561203803968,22,21,40
S03,scan3,1.49696376820009,1.49767614471219,30,40,69
S03,scan4,2.47844365322037,2.64029373543615,20,22,38
S03,scan5,1.64185520498935,1.40309011233377,25,38,59
S03,scan6,2.56690244306344,2.69262455237815,21,20,36
S03,scan7,1.73371484486096,1.61949591866733,26,36,58
S03,scan8,1.77281491342034,2.19669633560362,32,27,54
S03,scan9,1.84496664804798,1.60565383229018,23,34,55
S03,scan10,2.14719394456966,2.39206933090681,28,28,38
S03,scan11,1.85305109084822,2.22143211648431,30,27,51
S03,scan12,1.89980783137584,2.3129694084781,29,29,48
S04,scan1,1.65827136102952,1.51060716607756,32,32,63
S04,scan2,2.55209647998403,2.72281556551149,21,20,36
S04,scan3,1.587953072248,1.36888774363794,28,39,63
S04,scan4,1.61002219809807,1.38723307491781,29,36,61
S04,scan5,1.71604459206009,2.32990832619288,32,29,56
S04,scan6,1.86972282529041,1.85967833880484,22,35,55
S04,scan7,1.66520232464528,2.33399690383813,32,31,58
S04,scan8,1.87793454670386,1.47646230011891,24,33,54
S04,scan9,1.96561604098525,2.56517173529361,29,29,45
S04,scan10,1.87704282179011,2.48317068547781,27,29,50
S04,scan11,1.96372875859462,2.54488044440325,29,31,43
S04,scan12,1.84354085827625,2.47024796784044,29,28,52
S05,scan1,1.88553387264411,1.38745835860782,29,27,53
S05,scan2,1.84152682016717,1.85764254039983,29,29,54
S05,scan3,1.83801366712122,1.31203938917001,30,28,53
S05,scan4,1.81172218416427,1.93998337131319,30,29,51
S05,scan5,1.87981632376223,1.3988262191573,28,29,54
S05,scan6,1.75043727880899,1.91650510284208,33,28,53
S05,scan7,1.75311818469455,1.66966780363662,32,29,55
S05,scan8,1.82514154946851,2.01277913676259,29,28,52
S05,scan9,1.79919304595922,1.99266814999589,30,28,53
S05,scan10,1.99607640444006,1.79497239286782,28,26,50
S05,scan11,1.96702778966645,2.24033406072222,27,25,47
S05,scan12,2.01775637989455,2.29194503412476,26,26,45
S06,scan1,1.52158209134518,1.20650924891741,34,35,70
S06,scan2,2.51276276035084,2.78608000707679,20,21,36
S06,scan3,1.40864039510569,1.06661590956008,33,43,71
S06,scan4,2.46733641659299,2.72595625769939,21,22,37
S06,scan5,1.50611856663777,1.1171545451147,32,35,68
S06,scan6,1.756927305524,1.98423610494118,29,30,54
S06,scan7,1.69584902503115,1.14747167370322,28,34,61
S06,scan8,1.88467640722521,2.05821419362852,28,31,45
S06,scan9,1.66606704104252,1.90003116561543,29,32,56
S06,scan10,1.64407027736308,1.694923413847,30,36,61
S06,scan11,1.76269948115911,1.91438133632534,30,28,52
S06,scan12,1.73410608509047,2.01129816823401,29,32,51
S06,scan13,1.64065662113985,1.48664864637583,27,36,64
S07,scan1,1.38214272928274,1.23403299067717,39,38,74
S07,scan2,1.4634745072551,1.79206826935724,37,36,70
S07,scan3,1.44030603450599,1.27037342623017,40,34,71
S07,scan4,1.56650446067237,1.86369611829864,33,34,62
S07,scan5,1.73484649098384,1.65657337040058,30,29,55
S07,scan6,1.74202703054685,2.13271903148061,27,29,51
S07,scan7,1.55699524767706,1.47062660899425,37,33,65
S07,scan8,1.85281375088639,2.21821090873856,27,26,48
S07,scan9,1.69069162117825,1.36240270548525,29,33,58
S07,scan10,1.83251057646393,2.19203688717808,27,27,49
S07,scan11,1.88740180224317,2.2135368185298,26,27,47
S07,scan12,1.83386525781509,2.17168494208056,26,28,49
S08,scan1,1.71160276775688,1.43376237067962,35,27,59
S08,scan2,1.28633520141864,1.19560918091742,42,39,77
S08,scan3,1.7565025697375,1.60226686869291,31,29,56
S08,scan4,1.34894112192357,1.20360756679046,39,39,72
S08,scan5,1.67634652077921,1.4624085994925,33,31,60
S08,scan6,1.61386200387665,1.71207121578842,32,33,60
S08,scan7,1.86759070792028,1.56587620328391,30,26,52
S08,scan8,1.53936270875255,1.93001514941675,35,34,62
S08,scan9,1.71023363961181,1.34655377750048,30,33,59
S09,scan1,2.02046390812241,1.71789492997493,26,28,51
S09,scan2,2.08648557288707,1.65604106328407,23,29,47
S09,scan3,2.05421416164624,1.70538505188531,24,29,48
S09,scan4,1.03640718208512,0.828110126045558,49,51,96
S09,scan5,2.28088350646878,2.10458519838149,23,24,44
S09,scan6,1.04109067387905,0.827727821833177,51,49,96
S09,scan7,2.54331092212469,2.29776385421538,20,22,39
S09,scan8,1.01387771995517,1.06355062885143,50,53,97
S09,scan9,2.37972421692644,2.73514502604697,22,22,38
S10,scan1,1.16434626690112,0.920814852297042,39,53,89
S10,scan2,2.58897878259332,2.71962280212915,20,21,35
S10,scan3,1.16151900889461,1.09304151960456,43,50,85
S10,scan4,2.71128782141468,2.72305489363496,20,21,32
S10,scan5,1.15073393777556,1.07799672215562,43,49,86
S10,scan6,2.75422768127597,2.75864170992065,19,21,32
S10,scan7,1.28005363556237,1.15919886354378,36,46,77
S10,scan8,2.56019411452202,2.74550279856131,20,21,36
S10,scan9,2.58148332322187,2.78572119813464,21,21,35
S10,scan10,1.42858629854603,1.42533290397884,34,40,69
S10,scan11,2.81338380699055,2.81794972102972,20,21,30
S10,scan12,2.5507062117299,2.74229634770908,20,21,36
S11,scan1,1.16808061093383,1.13541273928879,48,43,86
S11,scan2,1.29347970241186,1.33557555685645,38,40,73
S11,scan3,1.26458583133063,1.26319737353296,36,46,77
